"state" "People_Fully_Vaccinated" "People_Partially_Vaccinated" "population"
"Alabama" 1891063 561484 4903185
"Alaska" 353122 51864 731545
"Arizona" 3549370 640650 7278717
"Arkansas" 1267963 347122 3017804
"California" 22668832 5145998 39512223
"Colorado" 3336398 370486 5758736
"Connecticut" 2360741 271919 3565287
"Delaware" 540571 85335 973764
"District of Columbia" 504371 72302 705749
"Florida" 11468372 2304777 21477737
"Georgia" 4445340 1036755 10617423
"Hawaii" 904753 267188 1415872
"Idaho" 737385 90619 1787065
"Illinois" 6764410 1873839 12671821
"Indiana" 3128226 261944 6732219
"Iowa" 1637139 143173 3155070
"Kansas" 1413349 264112 2913314
"Kentucky" 2180536 383926 4467673
"Louisiana" 1958149 370098 4648794
"Maine" 887309 77780 1344212
"Maryland" 3740778 405196 6045680
"Massachusetts" 4558121 645874 6892503
"Michigan" 5057861 472885 9986857
"Minnesota" 3163850 330808 5639632
"Mississippi" 1174504 257143 2976149
"Missouri" 2779556 464273 6137428
"Montana" 493329 66905 1068778
"Nebraska" 1011269 104148 1934408
"Nevada" 1480400 312053 3080156
"New Hampshire" 812490 100988 1359711
"New Jersey" 5610433 753529 8882190
"New Mexico" 1262474 208914 2096829
"New York" 11754776 1413204 19453561
"North Carolina" 5240189 987646 10488084
"North Dakota" 321663 50135 762062
"Ohio" 5667784 477575 11689100
"Oklahoma" 1747709 375494 3956971
"Oregon" 2452534 250915 4217737
"Pennsylvania" 7087237 1827128 12801989
"Puerto Rico" 2038527 361099 3193694
"Rhode Island" 754281 72831 1059361
"South Carolina" 2246101 428677 5148714
"South Dakota" 437192 63023 884659
"Tennessee" 2909664 531358 6829174
"Texas" 13845631 2794009 28995881
"Utah" 1587108 281404 3205958
"Vermont" 439260 51256 623989
"Virginia" 4903533 687320 8535519
"Washington" 4597296 588727 7614893
"West Virginia" 806498 133459 1792147
"Wisconsin" 3154598 271079 5822434
"Wyoming" 226176 37904 578759
